Date,Open,High,Low,Close,target,target_pred,target_percent_pred,money_return,right
2021-08-09,146.1999969482422,146.6999969482422,145.52000427246094,146.08999633789062,0,1,0.5738844871520996,0.004158150122980486,False
2021-08-04,147.04969217580222,147.56890329943187,146.061167705111,146.73016357421875,0,-1,0.5287529826164246,,False
2021-08-05,146.76011418928385,147.61882824185471,145.95132838408742,146.83999633789062,-1,1,0.504228413105011,-0.0060887966121456,False
2021-08-06,146.35000610351562,147.11000061035156,145.6300048828125,146.13999938964844,-1,1,0.5019316077232361,-0.0035019878441007,False
2021-08-09,146.1999969482422,146.6999969482422,145.52000427246094,146.08999633789062,0,1,0.5738844871520996,0.0041581501229804,False
2021-08-06,146.35000610351562,147.11000061035156,145.6300048828125,146.13999938964844,-1,1,0.5019316077232361,-0.0035019878441007,False
2021-08-09,146.1999969482422,146.6999969482422,145.52000427246094,146.08999633789062,0,1,0.5738844871520996,,False
2021-08-03,145.59185746738618,147.81851699384478,144.96279510789105,147.13954162597656,0,1,0.440622478723526,0.0,False
2021-08-04,147.04969217580222,147.56890329943187,146.061167705111,146.73016357421875,0,-1,0.5287529826164246,,False
2021-08-05,146.76011418928385,147.61882824185471,145.95132838408742,146.83999633789062,-1,1,0.504228413105011,-0.0060887966121456,False
2021-08-06,146.35000610351562,147.11000061035156,145.6300048828125,146.13999938964844,-1,1,0.5019316077232361,-0.0035019878441007,False
2021-08-09,146.1999969482422,146.6999969482422,145.52000427246094,146.08999633789062,0,1,0.5738845,0.0,False
