,mean,median,min,quantile_20,quantile_25,quantile_44,quantile_60,quantile_75,quantile_88,max,std,skew,kurtosis,variation
Close,22.002063246016004,8.510065078735352,0.1447234004735946,0.6802449226379399,0.8650721907615662,6.109210968017578,20.292156219482415,43.4468297958374,61.208130798339845,75.00489044189453,24.19238411044425,0.7692564307092546,-0.967383973961033,585.2714489472755
High,22.195133663969635,8.538575391948708,0.1454452571105935,0.6874113061242458,0.8724885162657068,6.151348628394982,20.527142257509098,43.995235489555526,61.64945200521438,75.2779301209642,24.381904783436116,0.7645503462600955,-0.9785054630136858,594.477280868545
Low,21.797208705190176,8.445917503999386,0.1440016319484831,0.6709558285483117,0.8556484681073813,6.073205057034951,20.044244847850983,43.03833830937511,60.778805890517646,74.69589801711744,23.990673180280954,0.7739928290320031,-0.9561025276315887,575.5523996430519
Open,21.997203952091954,8.495812119448862,0.1454452571105935,0.6771346288010256,0.8644405385708278,6.109214216728709,20.275984835626943,43.507351821237755,61.18201619263572,75.03362927522457,24.188612002531414,0.7694139664051978,-0.9668221840629467,585.0889506090068
Volume,10112550.161117079,7259350.0,382800,3200000.0,3730000.0,6195072.000000002,9368460.0,13186550.0,20349204.000000007,118023500,9382908.097872477,2.4067267084434745,9.958013482829912,88038964373120.9
volume_adi,1821349732.5441737,1483553469.39824,-149983458.86675146,33945643.47594051,80677642.9935388,1160722989.1988792,1873947932.903872,2874828562.2037654,4619457433.665918,5270916952.939072,1728477505.9971423,0.6559769400441245,-0.850121611014643,2.987634488738101e+18
volume_obv,3368103641.437778,3830126000.0,-35171200,599583040.0000004,1085503200.0,3395059328.0,4558310360.0,5376809225.0,5664829320.000001,6827799000,2116790353.2979374,-0.3472682399977451,-1.3508127293694299,4.4808013998152064e+18
volume_cmf,0.034822947506898565,0.0357990921544227,-0.5483966892947456,-0.09854364093329081,-0.07178309253678185,0.011978617853453853,0.07558085306662934,0.13928761054072808,0.21445753938231057,1.0,0.15476031139037882,0.05896262992350372,0.13789206438428092,0.02395075398164702
volume_fi,-69654.72736455467,2185.0891156560883,-107580900.79788025,-178627.67907677242,-45607.15329415003,295.2975776742986,20578.61854002822,181758.99226850062,1422324.9501435747,47387979.782881096,4287403.358567678,-6.142130005515224,137.40677058038418,18381827559057.41
volume_mfi,52.45962357525092,52.60868793721952,0.0,39.61971765697679,42.12418340299349,50.17284117622996,56.75112621628036,62.79188412340248,70.04638416175548,100.0,14.97487761692211,-0.06758026640774971,-0.2316197799830797,224.24695964179477
volume_em,-0.015618539040315025,8.175738911926392e-05,-43.50940776341288,-0.2531098161403971,-0.07439083162637446,-0.0001727053592370998,0.0018327901055397791,0.13364074127067807,1.1119507223445122,44.23821910344654,2.526279287203878,-1.5869811142949035,44.166225786748484,6.382087036955334
volume_sma_em,-0.01574003016172501,0.0001527201663833,-8.161316328026235,-0.06656720476020994,-0.017068550675833176,3.914315350388601e-06,0.0011586007122896195,0.04690961519404985,0.38034140725278165,3.983233892020343,0.6977482879814757,-2.331472912437701,22.57247614732875,0.48685267338108035
volume_vpt,5960.8047170069085,4928.364266308384,-17399577.511562325,-90331.69705487145,-62761.151166684846,-6049.639652737084,26878.966374467574,84638.29917337146,218614.48698753852,11966876.772041203,551069.4685856173,-1.268247577230357,195.30036012389172,303677559207.2346
volume_nvi,5345.907553200792,2794.8260929288117,909.6941126630984,1504.8451054590896,1799.0761282267474,2469.1173495376397,3240.995842339068,7059.939429102984,14738.375907221083,25396.318986301267,5476.510754714989,1.426495717291281,0.7578322232907309,29992170.04650894
volume_vwap,21.953697654572647,8.35032282954517,0.1541436586810151,0.6687870509073142,0.8607948860147254,6.103765009573197,20.336262468372205,43.60519572231655,61.18756953383949,74.16309511132651,24.150298697688754,0.7698504456960523,-0.9673098844774883,583.2369271875871
volatility_atr,0.42965480712552245,0.13069411983490745,0.0,0.011164027334349146,0.0189790286456597,0.0920929492120311,0.4307040200300309,0.7486326612413328,1.0456932474657576,4.349419531730291,0.5209866362095453,1.756161902607585,5.254994578399854,0.2714270751089371
volatility_bbm,21.9622028140991,8.32760317325592,0.1539626255631446,0.6629801744222643,0.8576697029173374,6.103216652870179,20.351383781433107,43.6210262298584,61.27686571502686,74.04487113952636,24.17025873172723,0.7700559742629464,-0.9682246103027308,584.2014071586365
